solar_size,prod_cost_wt,hour,demand_kWh,dual,marginal_plant,marginal_type,technology_cost,emissions,flat_unit,flat_unit_eff
0,0.0,16,4921900.0,0.03207775026623007,Vrla 1,hydro,492647328.0000123,72866367.43946257,TENT B1,0.9671517922249849
0,0.0,17,5096200.0,0.6435593760903592,TETO NS,thermal-gas,492647328.0000123,72866367.43946257,TENT B1,0.9671517922249849
0,0.0,18,5187500.0,15.761049787225554,mixed,mixed,492647328.0000123,72866367.43946257,TENT B1,0.9671517922249849
0,0.0,19,5174827.707,0.6435593760903593,TETO NS,thermal-gas,492647328.0000123,72866367.43946257,TENT B1,0.9671517922249849
0,0.0,20,5158241.72,0.6435593760903593,TETO NS,thermal-gas,492647328.0000123,72866367.43946257,TENT B1,0.9671517922249849
0,0.0,21,4967502.879,0.6435593760903593,TETO NS,thermal-gas,492647328.0000123,72866367.43946257,TENT B1,0.9671517922249849
0,0.0,22,4793350.023,0.03057853759793701,HEDJ 1,hydro,492647328.0000123,72866367.43946257,TENT B1,0.9671517922249849
0,0.0,23,4635783.154,0.03057853759793701,HEDJ 1,hydro,492647328.0000123,72866367.43946257,TENT B1,0.9671517922249849
0,0.05,0,4619197.168,0.11823701204535642,HEDJ 1,hydro,492555230.0604522,72866645.1890701,TENT B1,1.178273951747268
0,0.05,1,4461630.298,0.11823701204535642,HEDJ 1,hydro,492555230.0604522,72866645.1890701,TENT B1,1.178273951747268
0,0.05,2,4469923.292,0.11823701204535642,HEDJ 1,hydro,492555230.0604522,72866645.1890701,TENT B1,1.178273951747268
0,0.05,3,4386993.36,0.11823701204535642,HEDJ 1,hydro,492555230.0604522,72866645.1890701,TENT B1,1.178273951747268
0,0.05,4,4254305.47,0.11823701204535642,HEDJ 1,hydro,492555230.0604522,72866645.1890701,TENT B1,1.178273951747268
0,0.05,5,4204547.512,0.11823701204535642,HEDJ 1,hydro,492555230.0604522,72866645.1890701,TENT B1,1.178273951747268
0,0.05,6,4672900.0,0.11823701204535642,HEDJ 1,hydro,492555230.0604522,72866645.1890701,TENT B1,1.178273951747268
0,0.05,7,5038100.0,1.3994132963760773,TETO NS,thermal-gas,492555230.0604522,72866645.1890701,TENT B1,1.178273951747268
0,0.05,8,5071300.0,1.3994132963760773,TETO NS,thermal-gas,492555230.0604522,72866645.1890701,TENT B1,1.178273951747268
0,0.05,9,5046400.0,1.3994132963760773,TETO NS,thermal-gas,492555230.0604522,72866645.1890701,TENT B1,1.178273951747268
0,0.05,10,5046400.0,1.3994132963760773,TETO NS,thermal-gas,492555230.0604522,72866645.1890701,TENT B1,1.178273951747268
0,0.05,11,5029800.0,1.3994132963760773,TETO NS,thermal-gas,492555230.0604522,72866645.1890701,TENT B1,1.178273951747268
0,0.05,12,4980000.0,1.3994132963760773,TETO NS,thermal-gas,492555230.0604522,72866645.1890701,TENT B1,1.178273951747268
0,0.05,13,4963400.0,1.3994132963760773,TETO NS,thermal-gas,492555230.0604522,72866645.1890701,TENT B1,1.178273951747268
0,0.05,14,4921900.0,0.1240339676960896,Vrla 1,hydro,492555230.0604522,72866645.1890701,TENT B1,1.178273951747268
0,0.05,15,4921900.0,0.1240339676960896,Vrla 1,hydro,492555230.0604522,72866645.1890701,TENT B1,1.178273951747268
0,0.05,16,4921900.0,0.1240339676960896,Vrla 1,hydro,492555230.0604522,72866645.1890701,TENT B1,1.178273951747268
0,0.05,17,5096200.0,1.3994132963760773,TETO NS,thermal-gas,492555230.0604522,72866645.1890701,TENT B1,1.178273951747268
0,0.05,18,5187500.0,11.448793570301117,mixed,mixed,492555230.0604522,72866645.1890701,TENT B1,1.178273951747268
0,0.05,19,5174827.707,1.3994132963760773,TETO NS,thermal-gas,492555230.0604522,72866645.1890701,TENT B1,1.178273951747268
